id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1,1741864714.725755,6.0,,,1,1,74,74,1.0,50.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
2,1741864714.7792935,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
3,1741864714.7953053,6.0,,,1,1,78,78,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
4,1741864714.8841717,6.0,,,1,1,40,40,1.0,50.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
5,1741864715.496906,17.0,,,1,1,525,525,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
6,1741864715.496906,17.0,,,1,1,525,525,1.0,64.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
7,1741864715.4979138,17.0,,,1,1,565,565,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
8,1741864715.4979138,17.0,,,1,1,565,565,1.0,64.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
9,1741864715.4989827,17.0,,,1,1,581,581,1.0,64.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
10,1741864716.5951114,17.0,,,1,1,244,244,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
11,1741864716.6435254,17.0,,,1,1,244,244,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
12,1741864716.6780062,6.0,,,1,1,52,52,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
13,1741864716.6935718,17.0,,,1,1,253,253,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
14,1741864716.744078,17.0,,,1,1,253,253,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
15,1741864716.79376,17.0,,,1,1,300,300,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
16,1741864716.8523498,17.0,,,1,1,300,300,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
17,1741864716.900844,17.0,,,1,1,298,298,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
18,1741864716.955873,17.0,,,1,1,298,298,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
19,1741864716.9748962,6.0,,,1,1,52,52,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
20,1741864717.0044205,17.0,,,1,1,308,308,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
21,1741864717.0633924,17.0,,,1,1,308,308,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
22,1741864717.0745583,6.0,,,1,1,84,84,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
23,1741864717.1041796,17.0,,,1,1,310,310,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
24,1741864717.1149473,6.0,,,1,1,76,76,1.0,56.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
25,1741864717.1539886,17.0,,,1,1,310,310,1.0,4.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
26,1741864717.1616051,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
27,1741864717.1718142,6.0,,,1,1,142,142,1.0,52.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
28,1741864717.1962337,6.0,,,1,1,96,96,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
29,1741864717.2232182,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
30,1741864717.2559812,6.0,,,1,1,40,40,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
31,1741864717.2635903,6.0,,,1,1,1136,1136,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
32,1741864717.277554,6.0,,,1,1,40,40,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
33,1741864717.2952356,6.0,,,1,1,96,96,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
34,1741864717.298254,6.0,,,1,1,96,96,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
35,1741864717.3587139,6.0,,,1,1,40,40,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
36,1741864717.3603172,6.0,,,1,1,1136,1136,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
37,1741864717.3803167,6.0,,,1,1,40,40,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
38,1741864717.3907468,6.0,,,1,1,96,96,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
39,1741864717.446624,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
